19058681	aplusk         	 3668373
16409683	britneyspears  	 1327826
15846407	TheEllenShow   
  428333	cnnbrk         	  110569
  783214	twitter        	   57237
  813286	BarackObama    	   35486
25365536	KimKardashian  	 3327945
16190898	RyanSeacrest   
19397785	Oprah          	 1509246
19757371	johncmayer     	 4133188
17461978	THE_REAL_SHAQ  	 2494788
19554706	mrskutcher     	 3994732
18091904	ashleytisdale  	 2741018
15485441	jimmyfallon    	 2798567
16727535	lancearmstrong 	 1074403
18863815	coldplay       	 1183876
27104736	mileycyrus     
  807095	nytimes        	  147765
19248106	MariahCarey    	 6431575
18222378	50cent         	 3079368
14075928	TheOnion       	  118002
17220934	algore         
20536157	google         	  165872
26885308	ashsimpsonwentz	 8752116
21879024	tonyhawk       	 5649857
29840295	JessicaSimpson 	 4311688
17919972	taylorswift13  	 2834910
14293310	TIME           
 2883841	eonline        	  124356
19877186	chelsealately  	 1091442
16998020	lilyroseallen  	 4139513
16264006	petewentz      	 1737440
 7376382	Agent_M        	   12557
  972651	mashable       	   10385
21324258	MarthaStewart  	 3188827
14515734	drdrew         	 1366988
 5741722	nprpolitics    	  367860
 6273552	MCHammer       
 6211972	SaraBareilles  	  174818
25589776	peoplemag      	 9246887
19637934	rainnwilson    	 4051581
21774892	TheMandyMoore  	 5447165
19329393	PerezHilton    
19923144	NBA            	  534285
15131310	WholeFoods     
18420140	brookeburke    	 2710323
19394188	SenJohnMcCain  	 3886654
 7400702	BBCClick       	   63314
14224719	DowningStreet  	    6627
 7861312	feliciaday     	   89692
